"PLASTICS_APPLICATIONS","Plastics applications","TIME","Time","Value","Flag Codes","Flags"
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2019","2019",28.759,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1990","1990",4.438,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1991","1991",4.61,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1992","1992",4.909,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1993","1993",5.119,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1994","1994",5.626,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1995","1995",5.849,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1996","1996",6.28,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1997","1997",6.754,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1998","1998",7.07,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","1999","1999",7.612,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2000","2000",8.021,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2001","2001",8.226,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2002","2002",8.762,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2003","2003",9.137,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2004","2004",9.73,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2005","2005",10.017,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2006","2006",10.662,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2007","2007",11.272,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2008","2008",10.753,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2009","2009",11.041,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2010","2010",11.998,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2011","2011",12.497,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2012","2012",12.985,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2013","2013",13.555,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2014","2014",13.812,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2015","2015",14.186,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2016","2016",14.348,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2017","2017",14.554,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2018","2018",14.812,,
"TEXTILE_SECTOR_-_OTHERS","Textile sector - others","2019","2019",15.116,,
"ROAD_MARKING","Road marking","1990","1990",0.195,,
"ROAD_MARKING","Road marking","1991","1991",0.203,,
"ROAD_MARKING","Road marking","1992","1992",0.215,,
"ROAD_MARKING","Road marking","1993","1993",0.224,,
"ROAD_MARKING","Road marking","1994","1994",0.246,,
"ROAD_MARKING","Road marking","1995","1995",0.256,,
"ROAD_MARKING","Road marking","1996","1996",0.274,,
"ROAD_MARKING","Road marking","1997","1997",0.295,,
"ROAD_MARKING","Road marking","1998","1998",0.308,,
"ROAD_MARKING","Road marking","1999","1999",0.331,,
"ROAD_MARKING","Road marking","2000","2000",0.349,,
"ROAD_MARKING","Road marking","2001","2001",0.357,,
"ROAD_MARKING","Road marking","2002","2002",0.38,,
"ROAD_MARKING","Road marking","2003","2003",0.396,,
"ROAD_MARKING","Road marking","2004","2004",0.421,,
"ROAD_MARKING","Road marking","2005","2005",0.433,,
"ROAD_MARKING","Road marking","2006","2006",0.46,,
"ROAD_MARKING","Road marking","2007","2007",0.486,,
"ROAD_MARKING","Road marking","2008","2008",0.463,,
"ROAD_MARKING","Road marking","2009","2009",0.475,,
"ROAD_MARKING","Road marking","2010","2010",0.515,,
"ROAD_MARKING","Road marking","2011","2011",0.536,,
"ROAD_MARKING","Road marking","2012","2012",0.556,,
"ROAD_MARKING","Road marking","2013","2013",0.579,,
"ROAD_MARKING","Road marking","2014","2014",0.589,,
"ROAD_MARKING","Road marking","2015","2015",0.6,,
"ROAD_MARKING","Road marking","2016","2016",0.607,,
"ROAD_MARKING","Road marking","2017","2017",0.63,,
"ROAD_MARKING","Road marking","2018","2018",0.657,,
"ROAD_MARKING","Road marking","2019","2019",0.682,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1990","1990",2.172,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1991","1991",2.259,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1992","1992",2.408,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1993","1993",2.515,,
